experience_level,job_title,salary_in_usd,company_location,company_size
SE,autre,85847,ES,L
MI,autre,30000,US,S
MI,autre,25500,US,S
SE,Data Scientist,175000,CA,M
SE,Data Scientist,120000,CA,M
SE,Applied Scientist,222200,US,L
SE,Applied Scientist,136000,US,L
SE,Data Scientist,219000,CA,M
SE,Data Scientist,141000,CA,M
SE,Data Scientist,147100,US,M
SE,Data Scientist,90700,US,M
SE,Data Analyst,130000,US,M
SE,Data Analyst,100000,US,M
EN,Applied Scientist,213660,US,L
EN,Applied Scientist,130760,US,L
SE,autre,147100,US,M
SE,autre,90700,US,M
SE,Data Scientist,170000,US,M
SE,Data Scientist,150000,US,M
MI,Data Analyst,150000,US,M
MI,Data Analyst,110000,US,M
SE,autre,275000,DE,M
SE,autre,174000,DE,M
SE,Analytics Engineer,230000,GB,M
SE,Analytics Engineer,143200,GB,M
SE,autre,225000,US,M
SE,autre,156400,US,M
SE,Machine Learning Engineer,200000,US,M
SE,Machine Learning Engineer,130000,US,M
SE,autre,90000,CA,M
SE,autre,72000,CA,M
SE,Data Engineer,253200,US,M
SE,Data Engineer,90700,US,M
SE,autre,342810,US,M
SE,autre,184590,US,M
MI,Data Engineer,162500,US,M
MI,Data Engineer,130000,US,M
MI,Data Analyst,105380,US,M
MI,Data Analyst,64500,US,M
EN,autre,100000,autre,L
EN,autre,30000,autre,L
MI,Machine Learning Engineer,20984,IN,L
EN,Applied Scientist,204620,US,L
EN,Applied Scientist,110680,US,L
SE,Data Engineer,270703,US,M
SE,Data Engineer,221484,US,M
SE,Data Scientist,212750,US,M
SE,Data Scientist,185000,US,M
SE,Data Scientist,262000,US,M
SE,Data Scientist,245000,US,M
SE,Data Scientist,275300,US,M
SE,Data Scientist,183500,US,M
SE,Data Scientist,218500,US,M
SE,Data Scientist,199098,US,M
SE,Data Engineer,203300,US,M
SE,Data Engineer,123600,US,M
SE,autre,189110,US,M
SE,autre,139000,US,M
EX,Data Scientist,258750,US,M
EX,Data Scientist,185000,US,M
SE,Data Engineer,231500,US,M
SE,Data Engineer,166000,US,M
SE,Data Scientist,172500,US,M
SE,Data Scientist,110500,US,M
SE,Data Engineer,238000,US,M
SE,Data Engineer,176000,US,M
SE,Data Engineer,237000,US,M
SE,Data Engineer,201450,US,M
SE,Applied Scientist,309400,US,L
SE,Applied Scientist,159100,US,L
SE,Data Engineer,115000,US,M
SE,Data Engineer,81500,US,M
SE,Data Scientist,237000,US,M
SE,Data Scientist,201450,US,M
SE,autre,280000,US,M
SE,autre,210000,US,M
SE,Data Architect,280100,US,M
SE,Data Architect,168100,US,M
SE,Data Engineer,193500,US,M
SE,Data Engineer,139000,US,M
MI,Data Scientist,65062,autre,L
SE,Machine Learning Engineer,150000,US,M
MI,autre,69751,DE,S
EN,autre,300000,IN,L
MI,Machine Learning Engineer,96578,autre,L
SE,autre,185900,US,M
SE,autre,129300,US,M
SE,Data Engineer,225000,US,M
SE,Data Engineer,175000,US,M
SE,Data Engineer,185000,US,M
SE,Data Engineer,140000,US,M
SE,Data Scientist,48289,ES,M
SE,Data Scientist,38631,ES,M
SE,Data Scientist,105000,US,M
SE,Data Scientist,70000,US,M
EN,Machine Learning Engineer,163196,US,M
EN,Machine Learning Engineer,145885,US,M
SE,Data Engineer,217000,US,M
SE,Data Engineer,185000,US,M
SE,Data Analyst,202800,US,L
SE,Data Analyst,104300,US,L
SE,Data Analyst,145000,US,M
SE,Data Analyst,65000,US,M
SE,Data Engineer,165000,US,M
SE,Data Engineer,132300,US,M
SE,Data Engineer,179170,US,M
SE,Data Engineer,94300,US,M
SE,Analytics Engineer,152500,US,M
SE,Analytics Engineer,116450,US,M
SE,Data Engineer,247300,US,M
SE,Data Engineer,133800,US,M
SE,autre,203000,US,M
SE,autre,133000,US,M
EN,Research Scientist,220000,US,L
EN,Machine Learning Engineer,56536,autre,S
SE,Data Scientist,150000,US,M
SE,Data Scientist,120000,US,M
SE,Analytics Engineer,289800,US,M
SE,Analytics Engineer,214000,US,M
SE,Analytics Engineer,179820,US,M
SE,Analytics Engineer,143860,US,M
SE,Machine Learning Engineer,283200,US,M
SE,Machine Learning Engineer,188800,US,M
SE,Analytics Engineer,289800,US,M
SE,Analytics Engineer,214200,US,M
SE,Data Engineer,185900,US,M
SE,Data Engineer,129300,US,M
SE,Data Engineer,252000,US,M
SE,Data Engineer,129000,US,M
MI,autre,155000,US,M
MI,autre,140000,US,M
SE,Data Engineer,161800,US,M
SE,Data Engineer,141600,US,M
SE,Machine Learning Engineer,342300,US,L
SE,Machine Learning Engineer,176100,US,L
MI,Data Engineer,100000,US,M
MI,Data Engineer,70000,US,M
EN,Data Engineer,85000,US,M
EN,Data Engineer,65000,US,M
SE,Data Scientist,138784,US,M
SE,Data Scientist,83270,US,M
EN,Data Analyst,75000,US,M
EN,Data Analyst,70000,US,M
